reason_issue,dataset.reason,dataset.issue
customer_RL-5895,customer,RL-5895
regression_MSF-9972,regression,MSF-9972
regression_CL-9051,regression,CL-9051
delivery_MSF-10003,delivery,MSF-10003
performance_RL-6041,performance,RL-6041
regression_RL-6041,regression,RL-6041
customer_ZEN-848,customer,ZEN-848
regression_ONE-1083,regression,ONE-1083
regression_ATP-3837,regression,ATP-3837
customer_CL-9232,customer,CL-9232
customer_CL-9234,customer,CL-9234
customer_CL-9240,customer,CL-9240
regression_CL-9240,regression,CL-9240
regression_RL-6350,regression,RL-6350
performance_ATP-3843,performance,ATP-3843
regression_MSF-10163,regression,MSF-10163
performance_CPS-374,performance,CPS-374
performance_WA-5801,performance,WA-5801
delivery_PAAS-3872,delivery,PAAS-3872
newfeature_MSF-10280,newfeature,MSF-10280
regression_MSF-10368,regression,MSF-10368
regression_ONE-1422,regression,ONE-1422
delivery_CPS-401,delivery,CPS-401
regression_CPS-409,regression,CPS-409
regression_PAAS-4269,regression,PAAS-4269
delivery_CL-9806,delivery,CL-9806
regression_DSS-2852,regression,DSS-2852
customer_RL-6761,customer,RL-6761
regression_RL-6761,regression,RL-6761
regression_GCF-1121,regression,GCF-1121
regression_RL-6780,regression,RL-6780
performance_WA-5957,performance,WA-5957
regression_WA-5957,regression,WA-5957
performance_RL-6815,performance,RL-6815
regression_MSF-10592,regression,MSF-10592
regression_DSS-2902,regression,DSS-2902
regression_RL-6843,regression,RL-6843
regression_RL-6874,regression,RL-6874
performance_WA-6006,performance,WA-6006
regression_ZEN-1179,regression,ZEN-1179
regression_AQE-1682,regression,AQE-1682
regression_WA-6029,regression,WA-6029
regression_ATP-3930,regression,ATP-3930
regression_DSS-3017,regression,DSS-3017
customer_RL-7042,customer,RL-7042
regression_PAAS-5500,regression,PAAS-5500
regression_MSF-10915,regression,MSF-10915
regression_BE-151,regression,BE-151
delivery_PAAS-5865,delivery,PAAS-5865
infrastructure_PAAS-6066,infrastructure,PAAS-6066
regression_RL-7248,regression,RL-7248
regression_WA-6257,regression,WA-6257
unknown_RL-7285,unknown,RL-7285
regression_MSF-11136,regression,MSF-11136
delivery_WA-6381,delivery,WA-6381
regression_RL-7318,regression,RL-7318
regression_CL-10770,regression,CL-10770
regression_ZEN-1433,regression,ZEN-1433
delivery_ZEN-1451,delivery,ZEN-1451
regression_CL-10872,regression,CL-10872
regression_DSS-3330,regression,DSS-3330
regression_ZEN-1462,regression,ZEN-1462
regression_PAAS-6986,regression,PAAS-6986
customer_TMA-180,customer,TMA-180
performance_WA-6528,performance,WA-6528
regression_PAAS-7242,regression,PAAS-7242
regression_MSF-11393,regression,MSF-11393
customer_ZEN-1497,customer,ZEN-1497
unknown_WA-6608,unknown,WA-6608
unknown_CL-11098,unknown,CL-11098
infrastructure_PAAS-7661,infrastructure,PAAS-7661
regression_RL-7537,regression,RL-7537
customer_CL-11130,customer,CL-11130
unknown_MSF-11569,unknown,MSF-11569
regression_DSS-3539,regression,DSS-3539
